First Name,Last Name,Party,State,Stance,Statement,Statement Link,Reelection Year,Address,Phone Number,Local Office Number,Email/Contact Form,Twitter Link,Handle,Press/Campaign Handle,Local Office Address,Previous Contradictory Statement
Lisa,Murkowski,R,AK,Neutral,"All weekend long my staff and I have been monitoring implementation of President Trump's recent EO related to immigration - consulting wiht both the Dept. of Homeland Security and stakeholders in Alaska. Like others, we are trying to understand the remifications of this action, including the suspension of the refugee resettlement program and its impact on Alaskans and those coming to our community. We have spoken with Catholic Social Services of Alaska about the effect of the EO in our state. President Trump has made it clear that the security of Americans is his top priority. I agree. I also believe U.S. immigration policy must strike a balance between national security and our values as Americans and that how we implement policy matters. I will be pressing the Administration to address the needs of those impacted by the implementation of this order while we work on the broader policy.",https://twitter.com/lisamurkowski/status/826132913683124225,2022,709 Hart Senate Office Building,202-224-6665,907-271-3735,https://www.murkowski.senate.gov/public/index.cfm/contact,https://twitter.com/lisamurkowski,@lisamurkowski,,"510 L Street, Suite 600, Anchorage, AK 99501",
Dan,Sullivan,R,AK,Support,"Excerpt - The temporary restrictions, which I support, will be in place until our vetting and screening system is thoroughly reexamined to ensure terrorists aren’t entering our country. ",https://www.facebook.com/SenDanSullivan/,2020,111 Russell Senate Office Building,202-224-3004,907-271-5915,https://www.sullivan.senate.gov/contact/email,,@DanSullivan2014,DanSullivanforAlaska,"510 L Street, Suite 750, Anchorage, AK 99501",
Jeff,Sessions,R,AL,Silent as of 1/30 5 pm PT,People think he wrote the damn thing - http://www.huffingtonpost.com/karen-hobert-flynn/what-was-jeff-sessions-ro_b_14505580.html,,2020,326 Russell Senate Office Building,202-224-4124,205-731-1500,www.sessions.senate.gov/public/index.cfm/contact-jeff,https://twitter.com/SenatorSessions,@SenatorSessions,@jeffsessions,"1800 5th Avenue North, 341 Vance Federal Building, Birmingham, AL 35203",
Richard,Shelby,R,AL,Support,"The safety and security of the American people is paramount, which is why I am a strong advocate of a rigorous review of our nation's vetting process for those who are seeking to enter our country,"" the senator said. ""I look forward to working with the administration and my colleagues in Congress to create effective policies that secure our borders and keep the American people safe.""",http://www.al.com/news/index.ssf/2017/01/richard_shelby_supports_trumps.html,2022,304 Russell Senate Office Building,202-224-5744,256-772-0460,https://www.shelby.senate.gov/public/index.cfm/emailsenatorshelby,https://twitter.com/SenShelby,@SenShelby,,"1000 Glenn Hearn Boulevard, #20127, Huntsville, AL 35824","Dec. 8, 2015 Richard Shelby, Alabama's Republican senior senator, is among the growing list of GOP figures who are at odds with Donald Trump's call for a ""complete and total shutdown"" of Muslim immigration to the United States."
John,Boozman,R,AR,Support,{rptecting our national security must be a top priority. Our intelligence community and citizens in communities across Arkansas and in the U.S. lack confidence in the programs we use to vet refugees fleeing from persecution and war-torn countries like Syria. We need reasonable measures that allow us to evaluate safety checks for people coming into our country. I have great confidence in Secretary Kelly and look forward to working with him to secure our borders. This is best achieved by working with Congress and the appropriate agencies to alleviate unintended consequences.,https://twitter.com/JohnBoozman/status/826169233621057538,2022,320 Hart Senate Office Building,202-224-4843,501-372-7153,https://www.boozman.senate.gov/public/index.cfm/contact,https://twitter.com/JohnBoozman,@JohnBoozman,@Boozman4AR,"1401 W. Capitol Ave., Suite 155, Little Rock, AR 72201","arktimes.com, 8/2/16: We’ve been at war now for many, many years, and we simply would not have had the gains that we’ve had without the contribution, sacrifice and cooperation of Muslims working hand in hand with the American troops."
Tom,Cotton,R,AR,Support,It's simply wrong to call the president’s executive order concerning immigration and refugees ‘a religious test’ of any kind. I doubt many Arkansans or Americans more broadly object to taking a harder look at foreigners coming into our country from war-torn nations with known terror networks; I think they’re wondering why we don’t do that already.,https://www.washingtonpost.com/news/the-fix/wp/2017/01/29/heres-where-republicans-stand-on-president-trumps-controversial-travel-ban/,2020,255 Dirksen Senate Office Building,202-224-2353,479-751-0879,http://www.cotton.senate.gov/?p=contact,https://twitter.com/RepTomCotton,@RepTomCotton,,"1108 South Old Missouri Road, Suite B, Springdale, AR 72764",
Jeff,Flake,R,AZ,Opposed,"President Trump and his administration are right to be concerned about national security, but it’s unacceptable when even legal permanent residents are being detained or turned away at airports and ports of entry. Enhancing long term national security requires that we have a clear-eyed view of radical Islamic terrorism without ascribing radical Islamic terrorist views to all Muslims.",https://medium.com/@JeffFlake/president-trump-and-his-administration-are-right-to-be-concerned-about-national-security-but-its-ebc9d0f71c45#.c2y7b0e49,2018,368 Russell Senate Office Building,202-224-4521,602-840-1891,https://www.flake.senate.gov/public/index.cfm/contact-jeff,https://twitter.com/JeffFlake,@JeffFlake,@FlakeforSenate,"2200 East Camelback Road, Suite 120, Phoenix, AZ ",
John,McCain,R,AZ,Opposed,"Our government has a responsibility to defend our borders, but we must do so in a way that makes us safer and upholds all that is decent and exceptional about our nation. It is clear from the confusion at our airports across the nation that President Trump’s executive order was not properly vetted. We are particularly concerned by reports that this order went into effect with little to no consultation with the Departments of State, Defense, Justice, and Homeland Security. Such a hasty process risks harmful results. We should not stop green-card holders from returning to the country they call home. We should not stop those who have served as interpreters for our military and diplomats from seeking refuge in the country they risked their lives to help. And we should not turn our backs on those refugees who have been shown through extensive vetting to pose no demonstrable threat to our nation, and who have suffered unspeakable horrors, most of them women and children. Ultimately, we fear this executive order will become a self-inflicted wound in the fight against terrorism. At this very moment, American troops are fighting side-by-side with our Iraqi partners to defeat ISIL. But this executive order bans Iraqi pilots from coming to military bases in Arizona to fight our common enemies. Our most important allies in the fight against ISIL are the vast majority of Muslims who reject its apocalyptic ideology of hatred. This executive order sends a signal, intended or not, that America does not want Muslims coming into our country. That is why we fear this executive order may do more to help terrorist recruitment than improve our security.",http://www.mccain.senate.gov/public/index.cfm/2017/1/statement-by-senators-mccain-graham-on-executive-order-on-immigration,2022,241 Russell Senate Office Building,202-224-2235,602-952-2410,https://www.mccain.senate.gov/public/index.cfm/contact-form,https://twitter.com/SenJohnMcCain,@SenJohnMcCain,,"2201 East Camelback Road, Suite 115, Phoenix, AZ 85016",
Dianne,Feinstein,D,CA,Opposed,There is no legitimate reason to ban refugees—the vast majority of whom are women and children who have experienced absolute horror. I very much regret that the president has chosen this dark path for our country.,https://twitter.com/SenFeinstein/status/825141796078485504,,331 Hart Senate Office Building,202-224-3841,(415) 393-0707,https://www.feinstein.senate.gov/public/index.cfm/e-mail-me,https://twitter.com/SenFeinstein,@SenFeinstein,,"One Post Street, Suite 2450, San Francisco, CA 94104",
Kamala,Harris,D,CA,Opposed,"Refugees don't make us less safe; they enrich our communities. I have seen refugees in California become business owners in Sacramento and students in Los Angeles developing cutting-edge research, all in the pursuit of contributing to a country that bravely opened its doors in their hour of need. We can’t turn our backs on them.",https://twitter.com/KamalaHarris/status/825396519423586304,,112 Hart Senate Office Building,202-224-3553,916-448-2787,https://www.harris.senate.gov/content/contact-senator,https://twitter.com/KamalaHarris,@KamalaHarris,,"52401 501 I Street, Suite 7-600, Sacramento, CA 95814",
